"Eastern and South-Eastern Asia",3805,,,3571,,,5868,,,8383,,,6759,,,6490,,,6904,,,8193,,,9097,,,10046,,,10138,,,11830,,,12180,,,11623,,,12135,,,13300,,,14914,,,17464,,,19486,,,20171,,,23513,,,28218,,,32802,,,39696,,,49017,,,69586,,,102497,,,102207,,,126712,,,152094,,,184705,,,217022,,,280048,,,313912,,,300272,,,316613,,,366115,,,371077,,,423406,,,508363,,,607004,,,656412,,,712688,,,803281,,,891723,,,972844,,,1125231,,,1328711,,,1333990,,,1410938,,,1325610,,,1421568,,,1688792,,,1527691,,,1653055,,,1961892,,,2434824,,,2793324,,,3263218,,,3773572,,,4256330,,,3497615,,,4545596,,,5289484,,,5457544,,,5609466,,,5758054,,,5398237,,,5188281,,,5728232,,,6188854,,,6045581,,,6034898,,,7569708,,,8036907,,,7570494,,,8043622,,
"Western Asia and Northern Africa",2157,,,2301,,,2622,,,3374,,,3573,,,3800,,,4099,,,4291,,,4409,,,4545,,,5119,,,5111,,,5386,,,5396,,,5730,,,7050,,,7777,,,8303,,,9107,,,9512,,,11143,,,12303,,,13431,,,17211,,,21024,,,31436,,,88408,,,80112,,,96720,,,107374,,,107483,,,168406,,,247558,,,237648,,,181516,,,140946,,,135962,,,127672,,,94038,,,110067,,,114087,,,139882,,,168195,,,153127,,,163707,,,157599,,,167287,,,191924,,,226285,,,238839,,,193840,,,233335,,,323349,,,298171,,,312310,,,381419,,,507882,,,677283,,,816217,,,962200,,,1294447,,,900482,,,1125980,,,1477548,,,1647994,,,1636852,,,1527621,,,1108965,,,1026982,,,1154021,,,1419369,,,1353242,,,1056078,,,1496246,,,1995457,,,1846294,,,1853888,,
"Developing economies",18654,,,17200,,,21055,,,26928,,,23810,,,24355,,,25212,,,27331,,,29278,,,30292,,,29851,,,31467,,,32085,,,31854,,,32619,,,36071,,,39149,,,41224,,,44032,,,45578,,,48555,,,54214,,,60112,,,67810,,,77796,,,115610,,,223785,,,209220,,,247551,,,282467,,,300303,,,425926,,,591204,,,582935,,,512547,,,476817,,,500382,,,475902,,,429831,,,522956,,,596783,,,682454,,,779379,,,815735,,,904769,,,960330,,,1108509,,,1321651,,,1435569,,,1535976,,,1414221,,,1541051,,,1902634,,,1793182,,,1926645,,,2294932,,,2902811,,,3562747,,,4285259,,,5007561,,,5996156,,,4717433,,,6079467,,,7494826,,,7844649,,,8023931,,,8057981,,,6986085,,,6631825,,,7392920,,,8245050,,,8047197,,,7602590,,,9862497,,,11169016,,,10572740,,,11117205,,
"Developing economies: Africa",4374,,,4295,,,4452,,,5554,,,5491,,,5520,,,5909,,,6247,,,6630,,,6837,,,6578,,,6971,,,7372,,,7333,,,7468,,,9134,,,9981,,,10336,,,11121,,,11555,,,13142,,,14816,,,16180,,,17413,,,19654,,,27942,,,48511,,,44379,,,50829,,,59676,,,59687,,,87324,,,121508,,,100056,,,85240,,,82007,,,82507,,,83635,,,69138,,,78956,,,81129,,,89769,,,105716,,,99476,,,97357,,,91745,,,95902,,,111437,,,125455,,,126944,,,105170,,,116443,,,145190,,,136409,,,142499,,,175179,,,233964,,,301599,,,359385,,,425011,,,548224,,,387233,,,522313,,,618205,,,641228,,,600754,,,581832,,,414487,,,379944,,,436797,,,513150,,,481383,,,396072,,,560194,,,663563,,,620244,,,627049,,
"Developing economies: Americas",7221,,,6211,,,7209,,,8676,,,8076,,,8756,,,8790,,,9150,,,9852,,,10322,,,9634,,,9477,,,9799,,,10014,,,10408,,,10942,,,11865,,,12311,,,12824,,,13522,,,13823,,,15405,,,17378,,,17205,,,19483,,,28653,,,47643,,,45399,,,51664,,,59932,,,64575,,,84547,,,111766,,,121218,,,108858,,,108659,,,118499,,,109751,,,94997,,,106298,,,122350,,,136166,,,146110,,,144875,,,152695,,,162510,,,190270,,,231307,,,260192,,,290333,,,285655,,,305108,,,367977,,,353186,,,357016,,,390825,,,481140,,,586361,,,699478,,,786084,,,906846,,,704009,,,890236,,,1108988,,,1118688,,,1108403,,,1078370,,,917399,,,884392,,,989828,,,1076924,,,1049639,,,950982,,,1209981,,,1415079,,,1398590,,,1458071,,
"Developing economies: Asia and Oceania",7059,,,6694,,,9394,,,12699,,,10243,,,10080,,,10513,,,11933,,,12796,,,13133,,,13639,,,15019,,,14914,,,14507,,,14744,,,15995,,,17303,,,18577,,,20087,,,20501,,,21590,,,23994,,,26555,,,33192,,,38658,,,59015,,,127631,,,119441,,,145058,,,162859,,,176040,,,254055,,,357930,,,361661,,,318449,,,286151,,,299377,,,282516,,,265695,,,337702,,,393303,,,456519,,,527552,,,571384,,,654718,,,706075,,,822337,,,978906,,,1049922,,,1118700,,,1023396,,,1119500,,,1389467,,,1303587,,,1427130,,,1728929,,,2187708,,,2674787,,,3226395,,,3796466,,,4541087,,,3626191,,,4666917,,,5767633,,,6084733,,,6314774,,,6397778,,,5654199,,,5367489,,,5966296,,,6654975,,,6516175,,,6255535,,,8092323,,,9090375,,,8553906,,,9032084,,
"Developed economies",40008,,,41454,,,40807,,,55947,,,55992,,,56418,,,59972,,,66682,,,74950,,,83094,,,79512,,,86494,,,98258,,,104443,,,110815,,,120830,,,136124,,,148679,,,163208,,,173300,,,194466,,,223098,,,258164,,,287047,,,342189,,,466474,,,618918,,,668081,,,746302,,,848765,,,1010460,,,1238502,,,1459318,,,1444849,,,1385340,,,1381081,,,1467747,,,1489795,,,1711622,,,1997560,,,2278308,,,2420618,,,2717624,,,2701605,,,2882790,,,2822109,,,3213297,,,3855020,,,3975716,,,4063671,,,4095627,,,4181952,,,4547260,,,4399653,,,4570869,,,5290996,,,6315452,,,6949298,,,7850699,,,9023399,,,10174023,,,7860426,,,9219807,,,10841255,,,10662560,,,10921373,,,10954766,,,9579070,,,9417696,,,10344741,,,11302195,,,10960889,,,10045047,,,12427214,,,13735359,,,13313327,,,13313664,,
"Developed economies: Americas",15861,,,15107,,,13022,,,17890,,,17846,,,16661,,,17067,,,18876,,,22502,,,24857,,,21658,,,22045,,,25464,,,26297,,,27207,,,29232,,,33754,,,35209,,,39423,,,41973,,,47275,,,51730,,,60108,,,62036,,,70444,,,97326,,,134076,,,143060,,,157534,,,166861,,,194426,,,244857,,,293529,,,311664,,,287871,,,282597,,,314465,,,309969,,,317829,,,352696,,,439967,,,486142,,,521759,,,549313,,,583040,,,610304,,,678332,,,777383,,,827154,,,903951,,,896750,,,934582,,,1058865,,,989267,,,945861,,,997917,,,1132099,,,1262015,,,1414577,,,1569359,,,1744435,,,1372531,,,1666377,,,1934350,,,2001783,,,2038467,,,2097416,,,1913064,,,1841599,,,1967557,,,2117019,,,2092839,,,1816595,,,2264577,,,2668565,,,2589195,,,2634061,,
"Developed economies: Asia and Oceania",2473,,,2710,,,3096,,,4183,,,3794,,,4092,,,4148,,,4683,,,5377,,,6078,,,5441,,,6537,,,7254,,,7727,,,8464,,,9666,,,11348,,,13136,,,14860,,,15871,,,18691,,,22870,,,27031,,,32709,,,40247,,,54015,,,75357,,,76965,,,93676,,,111101,,,133349,,,145725,,,181387,,,206095,,,192969,,,202549,,,233955,,,242506,,,281526,,,321406,,,378091,,,394171,,,414780,,,451021,,,483241,,,513458,,,570849,,,655205,,,637305,,,658005,,,612279,,,658382,,,761087,,,661076,,,688803,,,785245,,,965994,,,1051422,,,1166159,,,1309603,,,1484227,,,1172708,,,1540004,,,1757414,,,1705298,,,1635298,,,1616561,,,1441075,,,1430275,,,1605667,,,1706776,,,1620278,,,1496233,,,1854195,,,1966302,,,1830658,,,1841091,,
"Developed economies: Europe",21674,,,23637,,,24689,,,33875,,,34352,,,35664,,,38756,,,43123,,,47071,,,52159,,,52413,,,57912,,,65540,,,70419,,,75144,,,81931,,,91022,,,100333,,,108925,,,115456,,,128501,,,148498,,,171025,,,192302,,,231497,,,315134,,,409485,,,448056,,,495092,,,570803,,,682686,,,847920,,,984403,,,927091,,,904500,,,895935,,,919327,,,937320,,,1112267,,,1323458,,,1460250,,,1540304,,,1781086,,,1701271,,,1816509,,,1698347,,,1964115,,,2422431,,,2511257,,,2501715,,,2586598,,,2588988,,,2727309,,,2749310,,,2936205,,,3507834,,,4217358,,,4635860,,,5269963,,,6144437,,,6945361,,,5315187,,,6013427,,,7149491,,,6955480,,,7247608,,,7240789,,,6224931,,,6145822,,,6771517,,,7478400,,,7247772,,,6732219,,,8308442,,,9100492,,,8893474,,,8838513,,
"Developing economies excluding China",18134,,,17200,,,20505,,,26168,,,22990,,,23335,,,24062,,,25921,,,27628,,,28078,,,27125,,,28295,,,29514,,,29912,,,30706,,,34040,,,36898,,,38661,,,41351,,,43190,,,46216,,,51785,,,57805,,,65028,,,74103,,,109734,,,216677,,,201531,,,240608,,,274948,,,290348,,,412312,,,573104,,,560928,,,490226,,,454591,,,474243,,,448552,,,398889,,,483519,,,549267,,,629916,,,717288,,,743825,,,819829,,,868586,,,987503,,,1172871,,,1284521,,,1353184,,,1230509,,,1346120,,,1653431,,,1527084,,,1601049,,,1856704,,,2309485,,,2800794,,,3316281,,,3787105,,,4565463,,,3515821,,,4501713,,,5596445,,,5795935,,,5814926,,,5715688,,,4712617,,,4534193,,,5129574,,,5758355,,,5547740,,,5012638,,,6546475,,,7624582,,,7193696,,,7540440,,
"Developing economies excluding LDCs",17237,,,15739,,,19170,,,24382,,,21357,,,21910,,,22525,,,24476,,,26184,,,27313,,,27042,,,28362,,,28789,,,28691,,,29290,,,32315,,,35403,,,37424,,,39775,,,41398,,,44023,,,49057,,,54619,,,62333,,,72357,,,108515,,,214620,,,201422,,,238983,,,272791,,,290706,,,413378,,,576000,,,569096,,,499575,,,463820,,,486777,,,462717,,,417630,,,509655,,,581736,,,666096,,,761190,,,799386,,,888173,,,942820,,,1089935,,,1297946,,,1408895,,,1509040,,,1389258,,,1513223,,,1867748,,,1759225,,,1889103,,,2252115,,,2847104,,,3487585,,,4190103,,,4889903,,,5843876,,,4599115,,,5928870,,,7308474,,,7656201,,,7828345,,,7870077,,,6834409,,,6481209,,,7213903,,,8038032,,,7849044,,,7415867,,,9626749,,,10902753,,,10311837,,,10841939,,
"LDCs (Least developed countries)",1416,,,1460,,,1885,,,2547,,,2453,,,2445,,,2687,,,2854,,,3093,,,2979,,,2809,,,3105,,,3296,,,3163,,,3329,,,3756,,,3746,,,3800,,,4257,,,4180,,,4532,,,5158,,,5492,,,5477,,,5439,,,7095,,,9164,,,7798,,,8568,,,9677,,,9597,,,12548,,,15187,,,13819,,,12956,,,12981,,,13587,,,13163,,,12170,,,13245,,,14972,,,16289,,,18119,,,16285,,,16531,,,17444,,,18508,,,23602,,,26573,,,26818,,,24856,,,27712,,,34783,,,33851,,,37429,,,42684,,,55524,,,74904,,,94741,,,116983,,,151759,,,117823,,,149956,,,185677,,,187912,,,195042,,,187321,,,151127,,,150091,,,178445,,,206412,,,197479,,,186071,,,234964,,,265539,,,260262,,,274510,,
"LDCs: Africa",1050,,,1104,,,1207,,,1643,,,1635,,,1681,,,1870,,,2006,,,2252,,,2159,,,1992,,,2255,,,2392,,,2222,,,2355,,,2682,,,2674,,,2719,,,3176,,,3174,,,3538,,,4087,,,4482,,,4668,,,4688,,,6171,,,7891,,,6625,,,7202,,,8178,,,7948,,,10110,,,12043,,,10803,,,9852,,,10046,,,10578,,,10235,,,9660,,,10799,,,12021,,,13307,,,14575,,,12481,,,12132,,,12138,,,12616,,,15330,,,17160,,,16589,,,14921,,,15964,,,19630,,,19072,,,21677,,,25785,,,36036,,,50733,,,65262,,,84926,,,113928,,,82573,,,106685,,,133631,,,134026,,,135825,,,130618,,,91995,,,85864,,,109123,,,128465,,,115162,,,108349,,,143229,,,161417,,,165517,,,174155,,
"LDCs: Asia",336,,,319,,,633,,,847,,,758,,,717,,,752,,,802,,,789,,,777,,,769,,,812,,,860,,,901,,,924,,,1023,,,1020,,,1031,,,1032,,,956,,,941,,,1013,,,949,,,736,,,682,,,836,,,1132,,,1032,,,1184,,,1288,,,1421,,,2142,,,2830,,,2779,,,2846,,,2685,,,2718,,,2669,,,2238,,,2155,,,2663,,,2740,,,3292,,,3523,,,4196,,,5072,,,5651,,,7974,,,9150,,,9848,,,9485,,,11270,,,14749,,,14436,,,15392,,,16441,,,18971,,,23573,,,28824,,,31338,,,37114,,,34478,,,42427,,,50814,,,52515,,,57800,,,55242,,,57805,,,62743,,,67764,,,76205,,,80449,,,76165,,,89575,,,101966,,,93072,,,99015,,
"LDCs: Islands and Haiti",31,,,37,,,45,,,57,,,59,,,47,,,65,,,47,,,52,,,43,,,48,,,39,,,43,,,40,,,50,,,51,,,52,,,50,,,49,,,50,,,54,,,58,,,61,,,73,,,69,,,88,,,141,,,141,,,183,,,211,,,227,,,297,,,315,,,238,,,257,,,250,,,290,,,259,,,272,,,291,,,287,,,242,,,252,,,282,,,203,,,235,,,241,,,297,,,263,,,381,,,450,,,478,,,404,,,343,,,361,,,458,,,517,,,598,,,655,,,719,,,717,,,771,,,844,,,1233,,,1372,,,1417,,,1461,,,1327,,,1484,,,1557,,,1742,,,1868,,,1558,,,2161,,,2157,,,1673,,,1341,,
"LLDCs (Landlocked developing countries)",532,,,519,,,615,,,825,,,864,,,856,,,983,,,1083,,,1127,,,1109,,,1021,,,1165,,,1225,,,1257,,,1317,,,1483,,,1651,,,1820,,,1861,,,1856,,,1961,,,2362,,,2571,,,2825,,,2600,,,3535,,,4616,,,3980,,,4895,,,5346,,,5098,,,6954,,,8386,,,7911,,,7623,,,7409,,,7482,,,7176,,,7805,,,9147,,,9880,,,10428,,,10708,,,9728,,,19713,,,20436,,,23302,,,28279,,,30627,,,31931,,,27899,,,28736,,,33984,,,34013,,,35888,,,44199,,,60222,,,78160,,,104122,,,133958,,,179852,,,125835,,,164638,,,220994,,,225349,,,231487,,,228596,,,156209,,,140068,,,163406,,,192713,,,191384,,,168259,,,220252,,,278092,,,278964,,,281716,,
"SIDS (Small island developing States) (UN-OHRLLS)",2322,,,2135,,,2743,,,3737,,,3224,,,3014,,,3046,,,3349,,,3565,,,3936,,,3638,,,3534,,,3582,,,3646,,,3614,,,3786,,,3760,,,3747,,,3886,,,4122,,,4347,,,4790,,,5688,,,6040,,,6945,,,10347,,,19155,,,20083,,,21908,,,24901,,,27493,,,35083,,,46050,,,48429,,,44901,,,44566,,,45712,,,40569,,,40308,,,46769,,,58418,,,65161,,,71511,,,76227,,,80313,,,91352,,,115934,,,139685,,,147561,,,147963,,,131238,,,137553,,,165065,,,147885,,,148938,,,187313,,,230752,,,267691,,,318078,,,348449,,,394274,,,305964,,,394585,,,468574,,,462118,,,467432,,,471045,,,398444,,,373199,,,420409,,,464393,,,438845,,,404654,,,510361,,,588935,,,541432,,,577223,,
"SIDS: Atlantic and Indian Ocean",71,,,67,,,60,,,79,,,86,,,97,,,104,,,82,,,97,,,109,,,102,,,104,,,79,,,94,,,95,,,127,,,113,,,107,,,112,,,109,,,114,,,123,,,173,,,180,,,164,,,197,,,390,,,369,,,352,,,410,,,430,,,499,,,545,,,429,,,456,,,459,,,496,,,554,,,828,,,1005,,,1164,,,1178,,,1436,,,1425,,,1538,,,1497,,,1615,,,1781,,,2141,,,1929,,,1956,,,1950,,,2001,,,2082,,,2306,,,2487,,,2653,,,2820,,,3073,,,3000,,,3347,,,2711,,,3077,,,3755,,,3690,,,4045,,,4246,,,3685,,,3471,,,3670,,,3765,,,3492,,,2827,,,3151,,,3728,,,3630,,,3792,,
"SIDS: Caribbean",1486,,,1386,,,1606,,,1994,,,1949,,,1928,,,1938,,,2018,,,2200,,,2511,,,2340,,,2134,,,2182,,,2292,,,2232,,,2312,,,2493,,,2410,,,2403,,,2586,,,2606,,,2718,,,3374,,,3474,,,3794,,,5486,,,11572,,,13170,,,13753,,,14799,,,15447,,,18422,,,23879,,,24945,,,21751,,,20537,,,19133,,,15267,,,14947,,,14741,,,14956,,,16078,,,14567,,,12889,,,11922,,,11455,,,12656,,,14498,,,15105,,,15885,,,14658,,,15931,,,20089,,,19516,,,17118,,,19475,,,23352,,,28505,,,35433,,,37241,,,43524,,,26342,,,30547,,,44371,,,39598,,,43470,,,38342,,,31394,,,27478,,,29459,,,32752,,,29501,,,26187,,,34538,,,49422,,,43773,,,50471,,
"SIDS: Pacific",764,,,683,,,1078,,,1664,,,1189,,,989,,,1004,,,1249,,,1268,,,1316,,,1197,,,1296,,,1321,,,1260,,,1286,,,1347,,,1153,,,1230,,,1371,,,1427,,,1627,,,1949,,,2140,,,2385,,,2986,,,4664,,,7193,,,6543,,,7803,,,9692,,,11617,,,16161,,,21626,,,23055,,,22693,,,23570,,,26083,,,24748,,,24533,,,31023,,,42298,,,47905,,,55508,,,61913,,,66853,,,78399,,,101663,,,123406,,,130315,,,130149,,,114624,,,119673,,,142976,,,126286,,,129514,,,165351,,,204747,,,236367,,,279572,,,308208,,,347403,,,276911,,,360962,,,420448,,,418830,,,419917,,,428457,,,363364,,,342250,,,387280,,,427876,,,405852,,,375640,,,472672,,,535785,,,494030,,,522960,,
"BRICS",6940,,,6528,,,8007,,,10279,,,9172,,,9477,,,10058,,,10975,,,12098,,,13360,,,13157,,,15218,,,14767,,,14897,,,15693,,,16861,,,18190,,,19384,,,20793,,,21741,,,23389,,,25693,,,28012,,,31701,,,35176,,,51676,,,79802,,,86504,,,95534,,,112922,,,126048,,,160225,,,208105,,,213382,,,221172,,,225934,,,229537,,,218461,,,213565,,,251580,,,274535,,,293705,,,309971,,,267109,,,286772,,,304218,,,371986,,,432187,,,464296,,,508325,,,470110,,,493643,,,631456,,,635631,,,717901,,,915702,,,1209805,,,1549872,,,1933990,,,2360495,,,2893987,,,2298533,,,2998674,,,3756715,,,3904758,,,4054047,,,4120376,,,3696003,,,3440305,,,3823269,,,4283085,,,4209230,,,4070761,,,5383566,,,6007664,,,5657645,,,5904214,,
"European Union (2020 â€¦)",12261,,,13990,,,15171,,,22177,,,22145,,,23370,,,25791,,,29121,,,31715,,,35272,,,35951,,,39599,,,46083,,,49847,,,52904,,,58162,,,65623,,,72901,,,79324,,,84929,,,95351,,,111030,,,129645,,,146337,,,179828,,,246939,,,321803,,,347065,,,384962,,,438027,,,522378,,,650107,,,740432,,,688538,,,666629,,,659149,,,679370,,,690889,,,842040,,,1005523,,,1117683,,,1185032,,,1379309,,,1359566,,,1466072,,,1365083,,,1571110,,,1956317,,,2008562,,,1981866,,,2092412,,,2091875,,,2168654,,,2202962,,,2363856,,,2851238,,,3422979,,,3689908,,,4153030,,,4920327,,,5477740,,,4253043,,,4767947,,,5585613,,,5335786,,,5535710,,,5653032,,,4929053,,,4969738,,,5466720,,,5992950,,,5825391,,,5475896,,,6640505,,,7166408,,,7211333,,,7150441,,
"G20 (Group of Twenty)",36091,,,35526,,,35305,,,46556,,,44785,,,44604,,,46171,,,50640,,,56421,,,62498,,,58349,,,63256,,,69433,,,72248,,,76103,,,82406,,,91953,,,99872,,,110066,,,114935,,,128479,,,145278,,,166251,,,184350,,,218130,,,297348,,,426492,,,454257,,,509178,,,584822,,,684679,,,858155,,,1076657,,,1125405,,,1032441,,,1003673,,,1077328,,,1074299,,,1164244,,,1344556,,,1561922,,,1673852,,,2282319,,,2289106,,,2440217,,,2430684,,,2752711,,,3249151,,,3371947,,,3528388,,,3484984,,,3600089,,,4021644,,,3859245,,,3998218,,,4624454,,,5579481,,,6310232,,,7266241,,,8356698,,,9519570,,,7420208,,,9146828,,,10906761,,,10944330,,,11189607,,,11342600,,,10100161,,,9690911,,,10644679,,,11640529,,,11359384,,,10464645,,,13224994,,,14682853,,,14044235,,,14288000,,
"G-77 (Group of 77)",16999,,,15467,,,18908,,,24288,,,21309,,,21925,,,22794,,,24702,,,26452,,,27466,,,27209,,,28757,,,29294,,,28876,,,29447,,,32637,,,35387,,,37184,,,39619,,,40869,,,43338,,,48058,,,52993,,,59503,,,67474,,,100606,,,203849,,,190375,,,222086,,,253937,,,263874,,,378153,,,523276,,,503375,,,432714,,,391527,,,399700,,,377478,,,321550,,,378636,,,425965,,,491098,,,570749,,,578545,,,629692,,,659392,,,770765,,,916800,,,1000092,,,1068739,,,965905,,,1062575,,,1332182,,,1264586,,,1371798,,,1677109,,,2167669,,,2739163,,,3345582,,,3961148,,,4850191,,,3789335,,,4911615,,,6133812,,,6412988,,,6537563,,,6548252,,,5593793,,,5256066,,,5882124,,,6627906,,,6454579,,,6047898,,,7934988,,,9130041,,,8596156,,,8987692,,
"OECD (Organisation for Economic Cooperation and Development)",39591,,,41178,,,40376,,,55323,,,54965,,,54800,,,58039,,,64604,,,72579,,,79652,,,75829,,,81694,,,92917,,,98577,,,103853,,,113375,,,128205,,,139986,,,153753,,,162652,,,182767,,,210294,,,243874,,,271031,,,323719,,,441301,,,587621,,,628190,,,702243,,,795753,,,951033,,,1167309,,,1381586,,,1367378,,,1302928,,,1295999,,,1386120,,,1410959,,,1619030,,,1899525,,,2180212,,,2331010,,,2657015,,,2704543,,,2888895,,,2837329,,,3215533,,,3860485,,,3990111,,,4099363,,,4152011,,,4262297,,,4623651,,,4469577,,,4635811,,,5333149,,,6336585,,,6947741,,,7837509,,,8984690,,,10021357,,,7834143,,,9164809,,,10704650,,,10561605,,,10830902,,,10920675,,,9677571,,,9560614,,,10448571,,,11352572,,,11043737,,,10171102,,,12486008,,,13824786,,,13580842,,,13624598,,

