Country Name,Country Code,Series Name,Series Code,2020 [YR2020],データソース_dataset1,データソース_dataset2
Afghanistan,AFG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,33.8,データセット1,データセット2
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,19955929052.1496,,データセット2
Africa Eastern and Southern,AFE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,20.8288135627805,データセット1,データセット2
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,933391782089.617,,データセット2
Africa Western and Central,AFW,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,18.8010084287976,データセット1,データセット2
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,789801651563.294,,データセット2
Albania,ALB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,83.1,データセット1,データセット2
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15241458744.8688,,データセット2
Algeria,DZA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.7,データセット1,データセット2
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,164873415325.201,,データセット2
American Samoa,ASM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,721000000,,データセット2
Andorra,AND,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2891001149.3611,,データセット2
Angola,AGO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,49.7,データセット1,データセット2
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,48501561203.5686,,データセット2
Antigua and Barbuda,ATG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1410796296.2963,,データセット2
Arab World,ARB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,86.5030985484257,データセット1,データセット2
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,2562783626987.73,,データセット2
Argentina,ARG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.9,データセット1,データセット2
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,385740508436.965,,データセット2
Armenia,ARM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,97.9,データセット1,データセット2
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,12641698583.2152,,データセット2
Aruba,ABW,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2481857122.8401,,データセット2
Australia,AUS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1328414058378.38,,データセット2
Austria,AUT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,434397601557.696,,データセット2
Azerbaijan,AZE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,98.1,データセット1,データセット2
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,42693000000,,データセット2
"Bahamas, The",BHS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,9958200000,,データセット2
Bahrain,BHR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,35837632978.7234,,データセット2
Bangladesh,BGD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,24.9,データセット1,データセット2
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,373979442362.193,,データセット2
Barbados,BRB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,5168344450,,データセット2
Belarus,BLR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.7,データセット1,データセット2
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,61371755326.2351,,データセット2
Belgium,BEL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,529694473501.791,,データセット2
Belize,BLZ,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,82.9,データセット1,データセット2
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,2042850000,,データセット2
Benin,BEN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,5.7,データセット1,データセット2
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,15651545208.8783,,データセット2
Bermuda,BMU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,6887147000,,データセット2
Bhutan,BTN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,86,データセット1,データセット2
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2457604334.15915,,データセット2
Bolivia,BOL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,87.4,データセット1,データセット2
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,36629843805.0216,,データセット2
Bosnia and Herzegovina,BIH,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,40.85,データセット1,データセット2
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,20226036564.4129,,データセット2
Botswana,BWA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,64.8,データセット1,データセット2
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,14960291105.9316,,データセット2
Brazil,BRA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,96.4,データセット1,データセット2
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1476107231194.11,,データセット2
British Virgin Islands,VGB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..,,データセット2
Brunei Darussalam,BRN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,12005799664.2691,,データセット2
Bulgaria,BGR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,70716821234.5967,,データセット2
Burkina Faso,BFA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,14.5,データセット1,データセット2
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,17725010532.5268,,データセット2
Burundi,BDI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,0.1,データセット1,データセット2
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2649680261.44299,,データセット2
Cabo Verde,CPV,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,81.1,データセット1,データセット2
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1821565617.6945,,データセット2
Cambodia,KHM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,41.3,データセット1,データセット2
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,34818073901.4851,,データセット2
Cameroon,CMR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,27.4,データセット1,データセット2
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,40773241177.0505,,データセット2
Canada,CAN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1655684730000.19,,データセット2
Caribbean small states,CSS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,95.373923543375,データセット1,データセット2
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,31763210392.7783,,データセット2
Cayman Islands,CYM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,5655358021.43209,,データセット2
Central African Republic,CAF,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,0.9,データセット1,データセット2
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2326720900.38047,,データセット2
Central Europe and the Baltics,CEB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1678756939339.66,,データセット2
Chad,TCD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,7.5,データセット1,データセット2
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,10715396042.3343,,データセット2
Channel Islands,CHI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,9439810775.67214,,データセット2
Chile,CHL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,254042159309.311,,データセット2
China,CHN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,83.8,データセット1,データセット2
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,14687744162801,,データセット2
Colombia,COL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,92.6,データセット1,データセット2
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,270348342541.465,,データセット2
Comoros,COM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,8.3,データセット1,データセット2
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1225039196.61091,,データセット2
"Congo, Dem. Rep.",COD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,4.1,データセット1,データセット2
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,48716961860.1325,,データセット2
"Congo, Rep.",COG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,35.9,データセット1,データセット2
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,11468687464.0046,,データセット2
Costa Rica,CRI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,95.9,データセット1,データセット2
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,62395610760.0492,,データセット2
Cote d'Ivoire,CIV,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,37.4,データセット1,データセット2
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,63027852805.4204,,データセット2
Croatia,HRV,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,57963370885.0798,,データセット2
Cuba,CUB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,94.7,データセット1,データセット2
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,107351800000,,データセット2
Curacao,CUW,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,2534327597.76536,,データセット2
Cyprus,CYP,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,25555093854.2968,,データセット2
Czechia,CZE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,251109660602.536,,データセット2
Data from database: World Development Indicators,,,,,データセット1,データセット2
Denmark,DNK,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,355631021931.621,,データセット2
Djibouti,DJI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,10.1,データセット1,データセット2
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,3185150981.03207,,データセット2
Dominica,DMA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,87.55,データセット1,データセット2
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,504214814.814815,,データセット2
Dominican Republic,DOM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,91.9,データセット1,データセット2
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,78844656298.1776,,データセット2
Early-demographic dividend,EAR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,66.2612747553481,データセット1,データセット2
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,11006437195990.5,,データセット2
East Asia & Pacific,EAS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,81.808261845558,データセット1,データセット2
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,27163485040463.8,,データセット2
East Asia & Pacific (IDA & IBRD countries),TEA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,80.8091078108228,データセット1,データセット2
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,17474730731538.4,,データセット2
East Asia & Pacific (excluding high income),EAP,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,79.9655335479399,データセット1,データセット2
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,17496305186280.5,,データセット2
Ecuador,ECU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,94.4,データセット1,データセット2
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,95865472000,,データセット2
"Egypt, Arab Rep.",EGY,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.9,データセット1,データセット2
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,383817841547.099,,データセット2
El Salvador,SLV,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,91.9,データセット1,データセット2
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,24921190000,,データセット2
Equatorial Guinea,GNQ,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,22.8,データセット1,データセット2
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,9893816007.7398,,データセット2
Eritrea,ERI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,10.4,データセット1,データセット2
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,..,,データセット2
Estonia,EST,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,31820771493.8974,,データセット2
Eswatini,SWZ,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,48.6,データセット1,データセット2
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,4105756862.55271,,データセット2
Ethiopia,ETH,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,7.4,データセット1,データセット2
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,107657734392.446,,データセット2
Euro area,EMU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,13266857904728,,データセット2
Europe & Central Asia,ECS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,97.4732601517091,データセット1,データセット2
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,22286624242751.4,,データセット2
Europe & Central Asia (IDA & IBRD countries),TEC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,94.9156992476623,データセット1,データセット2
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),NY.GDP.MKTP.CD,3916846154218.45,,データセット2
Europe & Central Asia (excluding high income),ECA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,91.0506967299705,データセット1,データセット2
Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,1437142037120.74,,データセット2
European Union,EUU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,15504700009593,,データセット2
Faroe Islands,FRO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,3271813311.5831,,データセット2
Fiji,FJI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,51.8,データセット1,データセット2
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,4432466237.09588,,データセット2
Finland,FIN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,270000311606.226,,データセット2
Fragile and conflict affected situations,FCS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,29.8820117258216,データセット1,データセット2
Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,1675406927630.4,,データセット2
France,FRA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2647926055110.05,,データセット2
French Polynesia,PYF,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,5792545870.80614,,データセット2
Gabon,GAB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,90,データセット1,データセット2
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,15342236163.9864,,データセット2
"Gambia, The",GMB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,1.8,データセット1,データセット2
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,1812170891.19069,,データセット2
Georgia,GEO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,89.6,データセット1,データセット2
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,16010869215.68,,データセット2
